,datetime,price,volume
0,2023-05-01,28344.22717995714,299961.51799999987
1,2023-05-02,28364.270169391537,261246.32400000002
2,2023-05-03,28564.01375006359,342465.3159999999
3,2023-05-04,28971.469791396023,210626.637
4,2023-05-05,29267.729485038883,295386.63000000006
5,2023-05-06,29021.320237283668,230364.31099999993
6,2023-05-07,28852.4446046165,150881.809
7,2023-05-08,27864.750306450314,317474.75500000035
8,2023-05-09,27587.219146947933,184389.40100000004
9,2023-05-10,27694.780429838465,357773.9729999999
10,2023-05-11,27191.709815350743,263065.11399999994
11,2023-05-12,26429.879567975273,300523.98999999993
12,2023-05-13,26824.018562748603,122878.68300000002
13,2023-05-14,26890.56926548461,126373.63700000005
14,2023-05-15,27312.21748570683,225840.552
15,2023-05-16,27051.85623949048,183965.6599999998
16,2023-05-17,26979.60287680382,247031.45800000007
17,2023-05-18,27034.18156616852,265355.239
18,2023-05-19,26875.539593998943,160983.34900000002
19,2023-05-20,26965.679868425053,71584.59799999998
20,2023-05-21,26942.777780671608,114149.33899999999
21,2023-05-22,26818.14112228592,166204.58399999992
22,2023-05-23,27238.04844635523,188440.25300000003
23,2023-05-24,26523.17164195069,254297.69699999996
24,2023-05-25,26289.724050010704,198959.34999999995
25,2023-05-26,26611.32774149799,164118.27799999996
26,2023-05-27,26711.685107846104,83391.19299999998
27,2023-05-28,27450.67026164675,234226.7909999999
28,2023-05-29,27877.373430688815,203499.74200000006
29,2023-05-30,27785.40574069996,163458.3049999999
