,datetime,price,volume
0,2023-05-01,1837.3144572329597,1830613.9670000013
1,2023-05-02,1848.744806592633,1566367.5670000007
2,2023-05-03,1873.3006681144539,2084102.4849999987
3,2023-05-04,1891.0908814361228,1307120.2090000003
4,2023-05-05,1938.1072538263807,2645323.217
5,2023-05-06,1924.86233116263,2335687.4299999992
6,2023-05-07,1906.3875841109686,1581694.3430000015
7,2023-05-08,1851.1552138038433,2425047.343000001
8,2023-05-09,1844.0210939200206,1254792.0819999995
9,2023-05-10,1846.8548409925545,2438032.2649999983
10,2023-05-11,1807.1602893795505,1937174.2749999994
11,2023-05-12,1771.8832772225571,2145925.5259999996
12,2023-05-13,1799.647266198074,893679.793
13,2023-05-14,1804.1959724003461,1037074.5129999997
14,2023-05-15,1823.5244672801612,1536012.0360000017
15,2023-05-16,1815.8740565287255,1279790.757
16,2023-05-17,1810.6211616401572,1586505.0899999994
17,2023-05-18,1808.3112951023418,1501702.1800000002
18,2023-05-19,1810.8491550266297,1083337.5709999993
19,2023-05-20,1816.0879596651039,525012.243
20,2023-05-21,1810.675752687388,675392.1460000001
21,2023-05-22,1812.4395958269686,1161096.2689999996
22,2023-05-23,1849.2451021243005,1524584.779
23,2023-05-24,1808.3396484717052,1719617.672
24,2023-05-25,1793.0037434058868,1458058.7929999998
25,2023-05-26,1820.3176905011321,1117498.0959999994
26,2023-05-27,1825.9658986193153,592996.4459999999
27,2023-05-28,1864.48710427593,1529200.6750000003
28,2023-05-29,1898.802866208426,1238706.2390000003
29,2023-05-30,1903.1053742389865,1088473.7380000004
